date,close,ExactBestMajorReversals,4DaysAheadTwoState,BuyIfNotSell,SellIfNotBuy,TwoStateMajorReversals,TwoStDayAfterMajRev,2StBDayAftSDayBefore,2StBDayAftSDayOf,DayAfterMajorReversal,4_days_ahead_TARGET,5pct_20day_TARGET,5pct_10day_TARGET,2_5pct_5day_TARGET,vix,candleHeight,6_day_SMA ,pct_Diff_from_6_day_SMA,Slope_6_Day_SMA,4_day_SMA,Slope_4_day_SMA,newHighs1Y,newLows1Y,CHLI_1Y,newHighs1M,newLows1M,CHLI_1M,newHighs2W,newLows2W,CHLI_2W,newHighs1W,newLows1W,CHLI_1W,advancedIssues,declinedIssues,ADV_Issues,advancedVolume,declinedVolume,ADV_Vol,advancedIssuesComp,declinedIssuesComp,ADV_Issues_Comp,advancedVolumeComp,declinedVolumeComp,ADV_Vol_Comp,PutCallRatio,PutCallRatio100,ImpVol,daysToEarnings,daysToDividend,TenYearFuturesContract,TwoYearFuturesContract,2yr_Yield,10yr_Yield,2yr_pct_chg,10yr_pct_chg,10yr_2yr_diff,10_2_diff_pct_chg
7/16/2014,23.695,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,BUY,N/A,N/A,,,,,,603,351,0.632075465,0,0,0,0,0,0,0,0,0,1082,1515,0.416634577,239350,264032,0.475483827,1121,1536,0.421904402,"975,067","1,034,050",0.485321163,N/A,N/A,0.2877,-4,-16,124.9688,109.6875,0.488,2.53,0,0,2.042,0
7/17/2014,23.2725,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,BUY,14.54,0.485,,,,,,264,224,0.540983595,81,676,0.10700132,109,1113,0.089198035,204,"1,113",0.154897493,503,2111,0.192425401,92969,431304,0.177329368,514,2170,0.191505215,"423,027","1,583,877",0.210785867,N/A,N/A,0.3114,-3,-15,125.625,109.7734,0.448,2.442,-0.082,-0.0348,1.994,-0.0235
7/18/2014,23.6075,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,BUY,12.06,0.2025,,,,,,249,224,0.52642705,90,424,0.175097273,133,627,0.174999998,265,627,0.297085198,2058,551,0.788807969,459118,55274,0.892544985,2116,558,0.791323856,"1,470,098","243,372",0.857965415,N/A,N/A,0.2874,-2,-14,125.2656,109.7188,0.484,2.482,0.0804,0.0164,1.998,0.002
7/21/2014,23.4847,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,BUY,HOLD,BUY,HOLD,BUY,12.81,0.2628,,,,23.515,,58,74,0.439393906,139,340,0.290187885,200,603,0.249065999,361,603,0.374481324,992,1615,0.380513999,188996,203677,0.481306329,1021,1662,0.380544166,"788,643","738,758",0.516330027,N/A,N/A,0.2894,-1,-13,125.3125,109.6953,0.492,2.469,0.0165,-0.0052,1.977,-0.0105
7/22/2014,23.68,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,BUY,HOLD,BUY,HOLD,BUY,12.24,0.01,,,,23.511,-0.001,113,52,0.684848443,231,181,0.560679598,427,322,0.57009345,728,322,0.693333327,1775,847,0.676964147,265025,145597,0.645423285,1796,894,0.66765799,"1,049,732","615,980",0.630200179,N/A,N/A,0.2841,0,-12,125.4219,109.7266,0.476,2.466,-0.0325,-0.0012,1.99,0.0066
7/23/2014,24.2975,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,11.52,0.4425,23.67286667,0.026,,23.767,0.085,91,54,0.627586164,189,224,0.457627108,405,409,0.497542991,685,409,0.62614259,1282,1295,0.497477685,242470,209768,0.536155741,1308,1340,0.493957702,"988,219","845,243",0.538990718,N/A,N/A,0.2178,-62,-11,125.4062,109.75,0.471,2.469,-0.0105,0.0012,1.998,0.004
7/24/2014,24.2575,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,11.84,0.0025,23.76661667,0.021,,23.93,0.054,84,46,0.646153796,198,236,0.456221188,418,425,0.495848155,719,425,0.628496498,1168,1421,0.451139434,256893,210672,0.549427352,1202,1446,0.453927491,"1,007,686","848,724",0.542814357,N/A,N/A,0.2116,-61,-10,125.0781,109.7109,0.492,2.502,0.0446,0.0134,2.01,0.006
7/25/2014,24.4178,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,HOLD,12.69,0.2003,23.9575,0.019,0.095,24.163,0.078,62,80,0.436619688,133,393,0.252851706,242,683,0.261621619,356,683,0.342637148,814,1782,0.313559321,146908,276801,0.346719093,853,1809,0.320435761,"581,524","1,028,391",0.361214101,N/A,N/A,0.2191,-60,-9,125.3281,109.7188,0.492,2.467,0,-0.014,1.975,-0.0174
7/28/2014,24.755,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,SELL,12.56,0.3,24.14875,0.026,0.127,24.432,0.09,238,227,0.511827946,107,511,0.173139156,198,792,0.199999998,288,792,0.266666664,961,1641,0.369331282,180523,262716,0.407281399,977,1678,0.367984933,"694,232","1,053,534",0.397211068,N/A,N/A,0.2269,-59,-8,125.1406,109.6953,0.504,2.487,0.0244,0.0081,1.983,0.0041
7/29/2014,24.595,HOLD,BUY,BUY,SELL,BUY,BUY,BUY,BUY,BUY,HOLD,HOLD,HOLD,SELL,13.28,0.24,24.3338,0.011,0.125,24.506,0.025,260,213,0.549682864,150,320,0.319148929,263,469,0.359289613,377,469,0.445626472,1324,1294,0.505729563,259000,237458,0.521695692,1340,1314,0.504898265,"1,118,741","926,115",0.547100138,N/A,N/A,0.2279,-58,-7,125.3594,109.7031,0.543,2.462,0.0774,-0.0101,1.919,-0.0323
