date,close,ExactBestMajorReversals,4DaysAheadTwoState,BuyIfNotSell,SellIfNotBuy,TwoStateMajorReversals,,counter,TwoStDayAfterMajRev,2StBDayAftSDayBefore,2StBDayAftSDayOf,DayAfterMajorReversal,4_days_ahead_TARGET,5pct_20day_TARGET,5pct_10day_TARGET,2_5pct_5day_TARGET,vix,candleHeight,6_day_SMA ,pct_Diff_from_6_day_SMA,Slope_6_Day_SMA,4_day_SMA,Slope_4_day_SMA,newHighs1Y,newLows1Y,CHLI_1Y,newHighs1M,newLows1M,CHLI_1M,newHighs2W,newLows2W,CHLI_2W,newHighs1W,newLows1W,CHLI_1W,advancedIssues,declinedIssues,ADV_Issues,advancedVolume,declinedVolume,ADV_Vol,advancedIssuesComp,declinedIssuesComp,ADV_Issues_Comp,advancedVolumeComp,declinedVolumeComp,ADV_Vol_Comp,PutCallRatio,PutCallRatio100,ImpVol,daysToEarnings,daysToDividend,TenYearFuturesContract,TwoYearFuturesContract,2yr_Yield,10yr_Yield,2yr_pct_chg,10yr_pct_chg,10yr_2yr_diff,10_2_diff_pct_chg
1/2/2015,27.3325,HOLD,SELL,BUY,SELL,SELL,,1,SELL,SELL,SELL,HOLD,HOLD,BUY,HOLD,HOLD,1,0.515,28.00583333,1,1,27.884,-0.097,69,29,0.704081561,223,102,0.686153825,384,1222,0.239103361,572,"1,222",1,1162,1521,0.433097278,176344,216581,0.448798117,1181,1555,0.431652045,"658,097","757,234",0.464977451,N/A,N/A,0.3375,-16,-23,127.25,109.3281,0.669,2.114,-0.0045,-0.0258,1.445,-0.0354
1/5/2015,26.5625,HOLD,SELL,BUY,SELL,BUY,,2,SELL,SELL,SELL,HOLD,HOLD,BUY,HOLD,BUY,2,0.51,27.76583333,2,2,27.405,-0.16,52,50,0.509803872,193,201,0.489847703,346,1250,0.216791979,482,"1,250",2,801,1926,0.293729372,87246,413139,0.174357745,801,1958,0.29032258,"349,401","1,406,537",0.198982538,N/A,N/A,0.3747,-15,-22,127.7969,109.3359,0.665,2.034,-0.006,-0.0378,1.369,-0.0526
1/6/2015,26.565,HOLD,SELL,BUY,SELL,SELL,,3,SELL,SELL,SELL,HOLD,HOLD,BUY,HOLD,BUY,3,0.105,27.44375,3,3,27.014,-0.13,41,90,0.312977075,161,461,0.25884244,253,1564,0.139240506,330,"1,564",3,631,2085,0.232326951,128808,465803,0.216625659,656,2115,0.236737639,"502,663","1,631,913",0.235486111,N/A,N/A,0.3782,-14,-21,128.5,109.4141,0.629,1.938,-0.0541,-0.0472,1.309,-0.0438
1/7/2015,26.9375,HOLD,SELL,BUY,SELL,BUY,,4,SELL,SELL,SELL,HOLD,HOLD,BUY,HOLD,HOLD,4,0.1425,27.18708333,4,4,26.849,-0.055,65,74,0.467625866,183,248,0.424593958,301,688,0.304347823,375,688,4,1808,869,0.675382889,361477,133405,0.730430689,1854,880,0.678127284,"1,374,489","550,596",0.713988733,N/A,N/A,0.3644,-13,-20,128.3594,109.4453,0.617,1.969,-0.0191,0.016,1.352,0.0328
1/8/2015,27.9725,HOLD,SELL,BUY,SELL,SELL,,5,SELL,SELL,SELL,HOLD,HOLD,BUY,HOLD,SELL,5,0.665,27.16083333,5,5,27.009,0.053,101,46,0.687074783,303,94,0.763224162,495,263,0.653034292,729,263,5,2014,682,0.747032638,474157,97433,0.829540405,2043,704,0.74372042,"1,655,081","385,722",0.810994986,N/A,N/A,0.3762,-12,-19,128.0938,109.4688,0.609,2.018,-0.013,0.0249,1.409,0.0422
1/9/2015,28.0025,HOLD,SELL,BUY,SELL,BUY,,6,SELL,SELL,SELL,HOLD,HOLD,BUY,HOLD,SELL,6,0.165,27.22875,6,6,27.369,0.12,89,51,0.63571424,245,158,0.607940432,365,390,0.483443702,505,390,6,926,1740,0.347336833,158985,295670,0.349682726,924,1810,0.337966348,"627,356","1,051,400",0.373702909,N/A,N/A,0.3844,-11,-18,128.75,109.5625,0.565,1.95,-0.0722,-0.0337,1.385,-0.017
1/12/2015,27.3125,HOLD,BUY,BUY,SELL,SELL,,7,SELL,SELL,SELL,HOLD,HOLD,BUY,HOLD,HOLD,7,0.8375,27.22541667,7,7,27.556,0.062,91,103,0.469072141,269,342,0.440261859,364,691,0.345023693,483,691,7,1025,1676,0.379489077,189761,313645,0.376954188,1054,1700,0.382716048,"737,427","1,058,345",0.410646229,N/A,N/A,0.4056,-10,-17,129.125,109.6094,0.549,1.909,-0.0283,-0.021,1.36,-0.0181
1/13/2015,27.555,HOLD,BUY,BUY,SELL,BUY,,8,SELL,SELL,SELL,HOLD,BUY,BUY,HOLD,HOLD,8,0.3025,27.39083333,8,8,27.711,0.051,133,123,0.51953123,370,349,0.514603609,473,675,0.412020902,773,675,8,1307,1373,0.487686565,229365,367014,0.384596037,1318,1398,0.485272458,"819,595","1,297,790",0.387078873,N/A,6.1785,0.3966,-9,-16,129.2188,109.625,0.541,1.905,-0.0146,-0.0021,1.364,0.0029
1/14/2015,27.45,HOLD,BUY,BUY,SELL,SELL,,9,SELL,SELL,SELL,HOLD,BUY,BUY,BUY,HOLD,9,0.19,27.53833333,9,9,27.58,-0.044,54,157,0.255924158,158,501,0.239757204,198,996,0.165829144,280,996,9,954,1740,0.354120266,181137,375492,0.325417828,990,1745,0.361974405,"686,926","1,345,897",0.337917271,N/A,0.6185,0.4119,-8,-15,129.5938,109.7188,0.501,1.855,-0.0739,-0.0262,1.354,-0.0073
1/15/2015,26.705,HOLD,BUY,BUY,SELL,BUY,,10,SELL,SELL,SELL,HOLD,BUY,BUY,BUY,BUY,10,0.8075,27.49958333,10,10,27.256,-0.108,40,156,0.204081622,118,538,0.179878046,176,1182,0.129602355,258,"1,182",10,583,2120,0.215686274,80462,470711,0.145983203,598,2155,0.21721758,"327,895","1,602,429",0.169865266,N/A,0.5533,0.4417,-7,-14,130.8281,109.8984,0.42,1.728,-0.1617,-0.0685,1.308,-0.034
